code,label,n_asec_PEIOOCC,n_monthly_2005_07
5320,"Library assistants, clerical",393.0,2127.0
5330,Loan interviewers and clerks,595.0,2975.0
5340,New accounts clerks,104.0,300.0
5350,Order clerks,561.0,2130.0
5360,"Human resources assistants, except payroll and timekeeping",320.0,1067.0
5400,Receptionists and information clerks,6610.0,24672.0
5410,Reservation and transportation ticket agents and travel clerks,610.0,2824.0
5420,"Information and record clerks, all other",538.0,1651.0
5500,Cargo and freight agents,116.0,358.0
5510,Couriers and messengers,2777.0,4555.0
5520,(sin etiqueta limpia — código SOC 43-5030),689.0,4888.0
5521,Public safety telecommunicators,237.0,
5522,"Dispatchers, except police, fire, and ambulance",499.0,
5530,"Meter readers, utilities",133.0,705.0
5540,Postal service clerks,533.0,2658.0
5550,Postal service mail carriers,1602.0,5729.0
5560,"Postal service mail sorters, processors, and processing machine operators",322.0,1653.0
5600,"Production, planning, and expediting clerks",1186.0,4824.0
5610,"Shipping, receiving, and inventory clerks",2861.0,9025.0
5620,(sin etiqueta limpia — código SOC 43-5081),3559.0,25370.0
5630,"Weighers, measurers, checkers, and samplers, recordkeeping",336.0,1281.0
5700,(sin etiqueta limpia — código SOC 43-6010),6105.0,60687.0
5710,Executive secretaries and executive administrative assistants,613.0,
5720,Legal secretaries and administrative assistants,136.0,
5730,Medical secretaries and administrative assistants,217.0,
5740,"Secretaries and administrative assistants, except legal, medical, and executive",5668.0,
5800,(sin etiqueta limpia — código SOC 43-9011),178.0,2907.0
5810,Data entry keyers,1226.0,8445.0
5820,Word processors and typists,350.0,4429.0
5830,Desktop publishers,,114.0
5840,Insurance claims and policy processing clerks,1315.0,4586.0
5850,"Mail clerks and mail machine operators, except postal service",309.0,2159.0
5860,"Office clerks, general",6605.0,17756.0
5900,"Office machine operators, except computer",151.0,899.0
5910,Proofreaders and copy markers,42.0,258.0
5920,Statistical assistants,160.0,408.0
5930,,,10212.0
5940,"Office and administrative support workers, all other",2955.0,
6000,,,871.0
6005,"First-line supervisors of farming, fishing, and forestry workers",327.0,
6010,Agricultural inspectors,95.0,341.0
6020,Animal breeders,,158.0
6040,"Graders and sorters, agricultural products",454.0,1356.0
6050,Miscellaneous agricultural workers,5327.0,14363.0
6100,(sin etiqueta limpia — código SOC 45-3011),120.0,1252.0
6110,(sin etiqueta limpia — código SOC 45-3021),,42.0
6115,Fishing and hunting workers,148.0,
6120,Forest and conservation workers,142.0,284.0
6130,Logging workers,392.0,1791.0
6200,First-line supervisors of construction trades and extraction workers,3755.0,16764.0
6210,Boilermakers,126.0,369.0
6220,"Brickmasons, blockmasons, and stonemasons",766.0,3962.0
6230,Carpenters,6904.0,32646.0
6240,"Carpet, floor, and tile installers and finishers",800.0,4350.0
6250,"Cement masons, concrete finishers, and terrazzo workers",343.0,1861.0
6260,Construction laborers,11232.0,28098.0
6300,(sin etiqueta limpia — código SOC 47-2071),35.0,524.0
6305,Construction equipment operators,1217.0,
6310,(sin etiqueta limpia — código SOC 47-2072),,61.0
6320,(sin etiqueta limpia — código SOC 47-2073),984.0,8721.0
6330,"Drywall installers, ceiling tile installers, and tapers",910.0,4403.0
6350,,,15034.0
6355,Electricians,4652.0,
6360,Glaziers,219.0,737.0
6400,Insulation workers,312.0,890.0
6410,Painters and paperhangers,1570.0,
6420,(sin etiqueta limpia — código SOC 47-2141),1408.0,11729.0
6430,(sin etiqueta limpia — código SOC 47-2142),,121.0
6440,(sin etiqueta limpia — código SOC 47-2150),1435.0,11386.0
6441,Pipelayers,140.0,
6442,"Plumbers, pipefitters, and steamfitters",1635.0,
6460,Plasterers and stucco masons,139.0,1003.0
6500,Reinforcing iron and rebar workers,21.0,163.0
6510,,,4265.0
6515,Roofers,1287.0,
6520,Sheet metal workers,646.0,2469.0
6530,Structural iron and steel workers,292.0,1191.0
6540,Solar photovoltaic installers,73.0,
6600,"Helpers, construction trades",273.0,2067.0
6660,Construction and building inspectors,480.0,1806.0
6700,Elevator and escalator installers and repairers,160.0,425.0
6710,Fence erectors,208.0,610.0
6720,Hazardous materials removal workers,163.0,506.0
6730,Highway maintenance workers,590.0,1925.0
6740,Rail-track laying and maintenance equipment operators,69.0,250.0
6750,Septic tank servicers and sewer pipe cleaners,25.0,170.0
6760,,,652.0
6765,Miscellaneous construction and related workers,204.0,
6800,"Derrick, rotary drill, and service unit operators, oil and gas",223.0,850.0
6820,(sin etiqueta limpia — código SOC 47-5021),79.0,701.0
6825,"Earth drillers, except oil and gas",123.0,
6830,(sin etiqueta limpia — código SOC 47-5031),35.0,166.0
6835,"Explosives workers, ordnance handling experts, and blasters",40.0,
6840,(sin etiqueta limpia — código SOC 47-5040),239.0,1362.0
6850,Underground mining machine operators,188.0,
6910,(sin etiqueta limpia — código SOC 47-5061),,104.0
6920,"Roustabouts, oil and gas",30.0,87.0
6930,(sin etiqueta limpia — código SOC 47-5081),,121.0
6940,(sin etiqueta limpia — código SOC 47-50XX),183.0,953.0
6950,Other extraction workers,237.0,
7000,"First-line supervisors of mechanics, installers, and repairers",1300.0,5574.0
7010,"Computer, automated teller, and office machine repairers",887.0,5837.0
